CBSA	WI22	CBSA Name
01	0.6539	ALABAMA
02	1.2298	ALASKA
03	0.825	ARIZONA
04	0.7111	ARKANSAS
05	1.3029	CALIFORNIA
06	0.9979	COLORADO
07	0.9791	CONNECTICUT
10	0.8128	FLORIDA
11	0.7537	GEORGIA
12	1.2242	HAWAII
13	0.7724	IDAHO
14	0.8401	ILLINOIS
15	0.8594	INDIANA
16	0.8171	IOWA
17	0.7885	KANSAS
18	0.7971	KENTUCKY
19	0.695	LOUISIANA
20	0.8282	MAINE
21	0.8512	MARYLAND
22	1.3117	MASSACHUSETTS
23	0.8392	MICHIGAN
24	0.9069	MINNESOTA
25	0.7302	MISSISSIPPI
26	0.7696	MISSOURI
27	0.8996	MONTANA
28	0.8661	NEBRASKA
29	1.043	NEVADA
30	1.0077	NEW HAMPSHIRE
32	0.8753	NEW MEXICO
33	0.8515	NEW YORK
34	0.802	NORTH CAROLINA
35	0.8461	NORTH DAKOTA
36	0.8095	OHIO
37	0.7767	OKLAHOMA
38	1.0436	OREGON
39	0.8153	PENNSYLVANIA
40	0.4654	PUERTO RICO
42	0.8207	SOUTH CAROLINA
43	0.7874	SOUTH DAKOTA
44	0.716	TENNESSEE
45	0.8188	TEXAS
46	0.9142	UTAH
47	0.9534	VERMONT
48	0.6335	VIRGIN ISLANDS
49	0.8057	VIRGINIA
50	1.0666	WASHINGTON
51	0.7186	WEST VIRGINIA
52	0.8985	WISCONSIN
53	0.9329	WYOMING
65	0.9611	GUAM
10180	0.8141	"Abilene, TX"
10380	0.3132	"Aguadilla-Isabela, PR"
10420	0.848	"Akron, OH"
10500	0.8545	"Albany, GA"
10540	1.072	"Albany, OR"
10580	0.8248	"Albany-Schenectady-Troy, NY"
10740	0.8824	"Albuquerque, NM"
10780	0.8661	"Alexandria, LA"
10900	0.9551	"Allentown-Bethlehem-Easton, PA-NJ"
11020	0.8272	"Altoona, PA"
11100	0.8067	"Amarillo, TX"
11180	0.9024	"Ames, IA"
11244	1.2638	"Anaheim-Santa Ana-Irvine, CA"
11260	1.218	"Anchorage, AK"
11460	1.017	"Ann Arbor, MI"
11500	0.6997	"Anniston-Oxford-Jacksonville, AL"
11540	0.9441	"Appleton, WI"
