CBSA	WI23	CBSA Name
01	0.6621	ALABAMA
02	1.2055	ALASKA
03	0.8594	ARIZONA
04	0.7255	ARKANSAS
05	1.2873	CALIFORNIA
06	1.0297	COLORADO
07	0.9630	CONNECTICUT
10	0.8184	FLORIDA
11	0.7491	GEORGIA
12	1.2310	HAWAII
13	0.7738	IDAHO
14	0.8433	ILLINOIS
15	0.8380	INDIANA
16	0.7954	IOWA
17	0.7956	KANSAS
18	0.7937	KENTUCKY
19	0.6943	LOUISIANA
20	0.8362	MAINE
21	0.8539	MARYLAND
22	1.3264	MASSACHUSETTS
23	0.8255	MICHIGAN
24	0.8968	MINNESOTA
25	0.7209	MISSISSIPPI
26	0.7861	MISSOURI
27	0.8364	MONTANA
28	0.8807	NEBRASKA
29	1.0810	NEVADA
30	1.0293	NEW HAMPSHIRE
32	0.8548	NEW MEXICO
33	0.8445	NEW YORK
34	0.8079	NORTH CAROLINA
35	0.7916	NORTH DAKOTA
36	0.8079	OHIO
37	0.7659	OKLAHOMA
38	1.0393	OREGON
39	0.8108	PENNSYLVANIA
40	0.4654	PUERTO RICO
42	0.8025	SOUTH CAROLINA
43	0.8075	SOUTH DAKOTA
44	0.7221	TENNESSEE
45	0.8372	TEXAS
46	0.8768	UTAH
47	0.9439	VERMONT
48	0.6902	VIRGIN ISLANDS
49	0.8023	VIRGINIA
50	1.0266	WASHINGTON
51	0.7244	WEST VIRGINIA
52	0.8611	WISCONSIN
53	0.9364	WYOMING
65	0.9611	GUAM
10180	0.8527	"Abilene, TX"
10380	0.2965	"Aguadilla-Isabela, PR"
10420	0.8351	"Akron, OH"
10500	0.8627	"Albany, GA"
10540	1.0720	"Albany-Lebanon, OR"
10580	0.8037	"Albany-Schenectady-Troy, NY"
10740	0.9010	"Albuquerque, NM"
10780	0.8740	"Alexandria, LA"
10900	0.9489	"Allentown-Bethlehem-Easton, PA-NJ"
11020	0.8535	"Altoona, PA"
11100	0.8232	"Amarillo, TX"
11180	0.8663	"Ames, IA"
11244	1.2835	"Anaheim-Santa Ana-Irvine, CA"
11260	1.1938	"Anchorage, AK"
11460	1.0253	"Ann Arbor, MI"
11500	0.6554	"Anniston-Oxford, AL"
11540	0.9615	"Appleton, WI"
11640	0.3427	"Arecibo, PR"
11700	0.8200	"Asheville, NC"
12020	0.8799	"Athens-Clarke County, GA"
12060	0.9494	"Atlanta-Sandy Springs-Alpharetta, GA"
12100	1.0854	"Atlantic City-Hammonton, NJ"
12220	0.6822	"Auburn-Opelika, AL"
12260	0.8531	"Augusta-Richmond County, GA-SC"
12420	0.9508	"Austin-Round Rock-Georgetown, TX"
12540	1.1984	"Bakersfield, CA"
12580	0.9466	"Baltimore-Columbia-Towson, MD"
12620	0.9213	"Bangor, ME"
12700	1.1892	"Barnstable Town, MA"
12940	0.7880	"Baton Rouge, LA"
12980	0.9182	"Battle Creek, MI"
13020	0.9075	"Bay City, MI"
13140	0.8853	"Beaumont-Port Arthur, TX"
13220	0.7675	"Beckley, WV"
13380	1.1777	"Bellingham, WA"
13460	1.1281	"Bend, OR"
13740	0.8843	"Billings, MT"
13780	0.8217	"Binghamton, NY"
13820	0.8046	"Birmingham-Hoover, AL"
13900	0.8600	"Bismarck, ND"
13980	0.8588	"Blacksburg-Christiansburg, VA"
14010	0.9247	"Bloomington, IL"
14020	0.9286	"Bloomington, IN"
14100	0.8657	"Bloomsburg-Berwick, PA"
14260	0.9326	"Boise City, ID"
14454	1.1747	"Boston, MA"
14500	1.0126	"Boulder, CO"
14540	0.8546	"Bowling Green, KY"
14740	1.1835	"Bremerton-Silverdale-Port Orchard, WA"
14860	1.1751	"Bridgeport-Stamford-Norwalk, CT"
15180	0.8154	"Brownsville-Harlingen, TX"
15260	0.8782	"Brunswick, GA"
15380	1.0433	"Buffalo-Cheektowaga, NY"
15500	0.8811	"Burlington, NC"
15540	0.9548	"Burlington-South Burlington, VT"
15680	0.8847	"California-Lexington Park, MD"
15764	1.0668	"Cambridge-Newton-Framingham, MA"
15804	1.0504	"Camden, NJ"
15940	0.7995	"Canton-Massillon, OH"
15980	0.9056	"Cape Coral-Fort Myers, FL"
16020	0.8052	"Cape Girardeau, MO-IL"
16060	0.8353	"Carbondale-Marion, IL"
