CBSA	WI21	CBSA Name
01	0.6724	ALABAMA
02	1.2496	ALASKA
03	0.8756	ARIZONA
04	0.7102	ARKANSAS
05	1.3053	CALIFORNIA
06	1.0086	COLORADO
07	1.0004	CONNECTICUT
10	0.8259	FLORIDA
11	0.7181	GEORGIA
12	1.2584	HAWAII
13	0.7826	IDAHO
14	0.8297	ILLINOIS
15	0.8354	INDIANA
16	0.8403	IOWA
17	0.7776	KANSAS
18	0.7915	KENTUCKY
19	0.6969	LOUISIANA
20	0.8436	MAINE
21	0.8626	MARYLAND
22	1.2929	MASSACHUSETTS
23	0.8482	MICHIGAN
24	0.9085	MINNESOTA
25	0.7464	MISSISSIPPI
26	0.7778	MISSOURI
27	0.8569	MONTANA
28	0.8876	NEBRASKA
29	1.0647	NEVADA
30	1.0141	NEW HAMPSHIRE
32	0.8701	NEW MEXICO
33	0.8595	NEW YORK
34	0.7926	NORTH CAROLINA
35	0.8368	NORTH DAKOTA
36	0.8094	OHIO
37	0.7723	OKLAHOMA
38	1.0691	OREGON
39	0.8019	PENNSYLVANIA
40	0.4653	PUERTO RICO
42	0.8065	SOUTH CAROLINA
43	0.8030	SOUTH DAKOTA
44	0.7146	TENNESSEE
45	0.8211	TEXAS
46	0.8714	UTAH
47	0.9713	VERMONT
48	0.8000	VIRGIN ISLANDS
49	0.7734	VIRGINIA
50	1.0292	WASHINGTON
51	0.7387	WEST VIRGINIA
52	0.9218	WISCONSIN
53	0.9450	WYOMING
65	0.9611	GUAM
10180	0.8337	"Abilene, TX"
10380	0.3241	"Aguadilla-Isabela, PR"
10420	0.8237	"Akron, OH"
10500	0.8206	"Albany, GA"
10540	1.0691	"Albany, OR"
10580	0.8259	"Albany-Schenectady-Troy, NY"
10740	0.8699	"Albuquerque, NM"
10780	0.8527	"Alexandria, LA"
10900	0.9501	"Allentown-Bethlehem-Easton, PA-NJ"
11020	0.8434	"Altoona, PA"
11100	0.8131	"Amarillo, TX"
11180	0.9214	"Ames, IA"
11244	1.2609	"Anaheim-Santa Ana-Irvine, CA"
11260	1.2194	"Anchorage, AK"
11460	0.9916	"Ann Arbor, MI"
11500	0.7190	"Anniston-Oxford-Jacksonville, AL"
11540	0.9030	"Appleton, WI"
11640	0.3537	"Arecibo, PR"
11700	0.8701	"Asheville, NC"
12020	0.8714	"Athens-Clarke County, GA"
12060	0.9463	"Atlanta-Sandy Springs-Roswell, GA"
12100	1.1734	"Atlantic City-Hammonton, NJ"
12220	0.6996	"Auburn-Opelika, AL"
12260	0.8653	"Augusta-Richmond County, GA-SC"
12420	0.9476	"Austin-Round Rock, TX"
12540	1.2090	"Bakersfield, CA"
12580	0.9521	"Baltimore-Columbia-Towson, MD"
12620	1.0022	"Bangor, ME"
12700	1.2145	"Barnstable Town, MA"
12940	0.7988	"Baton Rouge, LA"
12980	0.8986	"Battle Creek, MI"
13020	0.9242	"Bay City, MI"
13140	0.8664	"Beaumont-Port Arthur, TX"
13220	0.7723	"Beckley, WV"
13380	1.2149	"Bellingham, WA"
13460	1.1449	"Bend-Redmond, OR"
13740	0.9287	"Billings, MT"
13780	0.8343	"Binghamton, NY"
13820	0.8147	"Birmingham-Hoover, AL"
13900	0.8564	"Bismarck, ND"
13980	0.8765	"Blacksburg-Christiansburg-Radford, VA"
14010	0.9114	"Bloomington, IL"
14020	0.9302	"Bloomington, IN"
14100	0.8549	"Bloomsburg-Berwick, PA"
14260	0.9289	"Boise City, ID"
14454	1.2220	"Boston, MA"
14500	1.0574	"Boulder, CO"
14540	0.8440	"Bowling Green, KY"
14740	1.1451	"Bremerton-Silverdale, WA"
14860	1.2070	"Bridgeport-Stamford-Norwalk, CT"
15180	0.8471	"Brownsville-Harlingen, TX"
15260	0.7597	"Brunswick, GA"
15380	1.0442	"Buffalo-Cheektowaga-Niagara Falls, NY"
15500	0.8628	"Burlington, NC"
15540	1.0049	"Burlington-South Burlington, VT"
15680	0.8706	"California-Lexington Park, MD"
15764	1.0864	"Cambridge-Newton-Framingham, MA"
15804	1.0941	"Camden, NJ"
15940	0.8197	"Canton-Massillon, OH"
15980	0.9099	"Cape Coral-Fort Myers, FL"
16020	0.8019	"Cape Girardeau, MO-IL"
16060	0.8184	"Carbondale-Marion, IL"
16180	0.9901	"Carson City, NV"
16220	0.9536	"Casper, WY"
16300	0.8624	"Cedar Rapids, IA"
16540	1.1051	"Chambersburg-Waynesboro, PA"
16580	0.8655	"Champaign-Urbana, IL"
16620	0.8330	"Charleston, WV"
16700	0.9141	"Charleston-North Charleston, SC"
16740	0.9337	"Charlotte-Concord-Gastonia, NC-SC"
16820	0.9607	"Charlottesville, VA"
16860	0.8365	"Chattanooga, TN-GA"
16940	0.9074	"Cheyenne, WY"
16984	1.0442	"Chicago-Naperville-Evanston, IL"
17020	1.1109	"Chico, CA"
17140	0.9461	"Cincinnati, OH-KY-IN"
17300	0.7480	"Clarksville, TN-KY"
17420	0.7155	"Cleveland, TN"
17460	0.8847	"Cleveland-Elyria, OH"
17660	0.9249	"Coeur d'Alene, ID"
17780	0.8637	"College Station-Bryan, TX"
17820	0.9651	"Colorado Springs, CO"
17860	0.8359	"Columbia, MO"
17900	0.8456	"Columbia, SC"
17980	0.7866	"Columbus, GA-AL"
18020	1.0027	"Columbus, IN"
18140	0.9536	"Columbus, OH"
18580	0.9545	"Corpus Christi, TX"
18700	1.0685	"Corvallis, OR"
18880	0.8966	"Crestview-Fort Walton Beach-Destin, FL"
19060	0.9002	"Cumberland, MD-WV"
19124	0.9744	"Dallas-Plano-Irving, TX"
19140	0.8847	"Dalton, GA"
19180	0.9032	"Danville, IL"
19300	0.7161	"Daphne-Fairhope-Foley, AL"
19340	0.8520	"Davenport-Moline-Rock Island, IA-IL"
19430	0.9328	"Dayton-Kettering, OH"
19460	0.6859	"Decatur, AL"
19500	0.8326	"Decatur, IL"
19660	0.8129	"Deltona-Daytona Beach-Ormond Beach, FL"
19740	1.0020	"Denver-Aurora-Lakewood, CO"
19780	0.8889	"Des Moines-West Des Moines, IA"
19804	0.8820	"Detroit-Dearborn-Livonia, MI"
20020	0.6799	"Dothan, AL"
20100	1.0007	"Dover, DE"
20220	0.8608	"Dubuque, IA"
20260	0.9715	"Duluth, MN-WI"
20500	0.9658	"Durham-Chapel Hill, NC"
20700	0.9037	"East Stroudsburg, PA"
20740	0.9649	"Eau Claire, WI"
20940	0.9085	"El Centro, CA"
20994	1.0559	"Elgin, IL"
21060	0.7656	"Elizabethtown-Fort Knox, KY"
21140	0.9759	"Elkhart-Goshen, IN"
21300	0.8710	"Elmira, NY"
